##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HG004.novaseq.pcr-free.35x.R1
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	420312085
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.933184957077785	37.0	37.0	37.0	37.0	37.0
2	36.11533125439398	37.0	37.0	37.0	37.0	37.0
3	36.1892122112073	37.0	37.0	37.0	37.0	37.0
4	36.196750405118614	37.0	37.0	37.0	37.0	37.0
5	36.24626403735215	37.0	37.0	37.0	37.0	37.0
6	36.25623838534169	37.0	37.0	37.0	37.0	37.0
7	36.25717169421859	37.0	37.0	37.0	37.0	37.0
8	36.27101010669251	37.0	37.0	37.0	37.0	37.0
9	36.27162178551207	37.0	37.0	37.0	37.0	37.0
10-14	36.26041287106936	37.0	37.0	37.0	37.0	37.0
15-19	36.252956974101764	37.0	37.0	37.0	37.0	37.0
20-24	36.22812865825641	37.0	37.0	37.0	37.0	37.0
25-29	36.1552727721355	37.0	37.0	37.0	37.0	37.0
30-34	36.11164839240823	37.0	37.0	37.0	37.0	37.0
35-39	36.071701628089045	37.0	37.0	37.0	37.0	37.0
40-44	36.04721743749053	37.0	37.0	37.0	37.0	37.0
45-49	36.01569797404231	37.0	37.0	37.0	37.0	37.0
50-54	35.98739079367656	37.0	37.0	37.0	37.0	37.0
55-59	35.94483926532829	37.0	37.0	37.0	37.0	37.0
60-64	35.91784442172297	37.0	37.0	37.0	37.0	37.0
65-69	35.877673666223515	37.0	37.0	37.0	37.0	37.0
70-74	35.83918796529488	37.0	37.0	37.0	37.0	37.0
75-79	35.79583833474596	37.0	37.0	37.0	37.0	37.0
80-84	35.74364180558834	37.0	37.0	37.0	37.0	37.0
85-89	35.68584463851426	37.0	37.0	37.0	37.0	37.0
90-94	35.6551261089721	37.0	37.0	37.0	37.0	37.0
95-99	35.60590506742151	37.0	37.0	37.0	37.0	37.0
100-104	35.558802727739796	37.0	37.0	37.0	37.0	37.0
105-109	35.53540464723968	37.0	37.0	37.0	37.0	37.0
110-114	35.46660162483789	37.0	37.0	37.0	37.0	37.0
115-119	35.43202178495534	37.0	37.0	37.0	37.0	37.0
120-124	35.36825970112185	37.0	37.0	37.0	37.0	37.0
125-129	35.270993250170285	37.0	37.0	37.0	34.6	37.0
130-134	35.25291266179035	37.0	37.0	37.0	37.0	37.0
135-139	35.199140513887436	37.0	37.0	37.0	29.8	37.0
140-144	35.113341971121294	37.0	37.0	37.0	25.0	37.0
145-149	35.00083781745177	37.0	37.0	37.0	25.0	37.0
150-151	34.64812468573203	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.13618118553851133
1101	2	-0.001480597985590748
1101	3	-0.08742300361986821
1101	4	-0.07209699490768884
1101	5	-5.305400329049803E-4
1101	6	-0.03517311041115789
1101	7	2.2694480740170775E-4
1101	8	-0.0459690133804358
1101	9	-0.016057734195555895
1101	10-14	0.03584029950952328
1101	15-19	-0.004229721915947948
1101	20-24	-0.0666127659434963
1101	25-29	-0.06415677451639112
1101	30-34	-0.10148718186383832
1101	35-39	-0.09503808752693033
1101	40-44	-0.10010927007523662
1101	45-49	-0.09010410424954785
1101	50-54	-0.0928580578019691
1101	55-59	-0.12409467085356596
1101	60-64	-0.03408175084394571
1101	65-69	-0.08389682605285742
1101	70-74	-0.06610293886401308
1101	75-79	-0.07346762959000586
1101	80-84	-0.12082549132031772
1101	85-89	-0.07857601144171156
1101	90-94	-0.08675234202981841
1101	95-99	-0.21673765339007645
1101	100-104	-0.07327354856763435
1101	105-109	-0.10738930164175287
1101	110-114	-0.23154995144346913
1101	115-119	-0.12633672093966908
1101	120-124	-0.038193712216212816
1101	125-129	-0.10548630207834009
1101	130-134	-0.0036568976957482846
1101	135-139	-0.010386747400652041
1101	140-144	0.05735080072716414
1101	145-149	-0.0262795413784076
1101	150-151	-0.026044155184386852
1102	1	-0.06287850878101864
1102	2	0.017376243974396743
1102	3	0.041931260118040825
1102	4	-0.0498549867733189
1102	5	0.005704974531901996
1102	6	-0.018769336404247383
1102	7	-0.013030428259654059
1102	8	-0.010971651587702524
1102	9	0.020214578681731155
1102	10-14	0.0452954552121696
1102	15-19	-0.004069443848614185
1102	20-24	-0.042473989612261676
1102	25-29	-0.012493647915960082
1102	30-34	-0.037742567542046856
1102	35-39	-0.04107338600940835
1102	40-44	-0.022857169445295256
1102	45-49	-0.026065548653313897
1102	50-54	-0.008211269401918742
1102	55-59	-0.04754801432842726
1102	60-64	0.03507278011554149
1102	65-69	-0.007276633334996063
1102	70-74	0.02976883331722746
1102	75-79	-0.008064031052477105
1102	80-84	-0.13746783323192346
1102	85-89	-0.12681113356683227
1102	90-94	-0.1209920451668296
1102	95-99	-0.05692006446393094
1102	100-104	-0.12766181393024567
1102	105-109	-0.12049261330179917
1102	110-114	-0.10786374490000838
1102	115-119	-0.13159570415643174
1102	120-124	0.047618028223901376
1102	125-129	-0.13121870482888198
1102	130-134	0.004808434645141801
1102	135-139	0.027266229848542878
1102	140-144	0.03410632624748189
1102	145-149	-0.038404572700663664
1102	150-151	-0.08819172681426579
1103	1	0.022013856851870628
1103	2	-0.006127482354408187
1103	3	-0.024941687111279975
1103	4	-0.013414906055785991
1103	5	-0.010129680885192727
1103	6	-0.025963851456005216
1103	7	0.01277454835134506
1103	8	0.011766451986552795
1103	9	0.023171574985951793
1103	10-14	0.025579492860131836
1103	15-19	-0.02845281626863283
1103	20-24	-0.013030630525051379
1103	25-29	-0.010447867774011854
1103	30-34	-0.023491672945219477
1103	35-39	-0.019173279908926588
1103	40-44	0.003872198353185752
1103	45-49	-0.017314847833510782
1103	50-54	0.008219890380544825
1103	55-59	-0.009388860139260657
1103	60-64	0.005198867063541002
1103	65-69	0.020036406338299173
1103	70-74	-0.004499501116633553
1103	75-79	0.04515824666697199
1103	80-84	-0.06144467733324177
1103	85-89	-0.03193320447617509
1103	90-94	-0.03427405015491303
1103	95-99	0.0021315692886645365
1103	100-104	-4.2441422287708974E-5
1103	105-109	0.02108477789411012
1103	110-114	-0.02674669159340226
1103	115-119	-0.012069921023503127
1103	120-124	0.02799835690328223
1103	125-129	-0.12167535604794466
1103	130-134	0.03955445067616381
1103	135-139	-0.02559865917881865
1103	140-144	-0.01838619784411577
1103	145-149	-0.1557341098989582
1103	150-151	-0.14040433077691006
1104	1	-0.024895730543647687
1104	2	0.02217803972475707
1104	3	-0.02070359553889034
1104	4	0.010745495487590517
1104	5	0.04549443329644731
1104	6	-0.0019779411319333917
1104	7	0.004903849082879219
1104	8	0.02627526632370092
1104	9	0.04601798093669629
1104	10-14	0.012373239243245848
1104	15-19	-0.030189967990573052
1104	20-24	-0.0063253347387828285
1104	25-29	0.011052503876676667
1104	30-34	-0.008188529413665435
1104	35-39	-0.010725091955002597
1104	40-44	-0.005126668615915264
1104	45-49	-0.022681536296950355
1104	50-54	-0.004461785602124735
1104	55-59	-0.016178653869381776
1104	60-64	0.015636407030761745
1104	65-69	-0.006066173339497993
1104	70-74	-0.024754148101358453
